id | int | null=NO | default=null
filename | varchar(255) | null=NO | default=null
filepath | varchar(255) | null=NO | default=null
created_at | timestamp | null=YES | default=CURRENT_TIMESTAMP
video_url | varchar(500) | null=YES | default=null
hashtags | varchar(255) | null=YES | default=null
mood_category | varchar(50) | null=YES | default=General
is_blink_moment | tinyint(1) | null=YES | default=0
likes | int | null=YES | default=0
views | int | null=YES | default=0
user_id | int | null=YES | default=1
thumbnail_url | varchar(500) | null=YES | default=null

Row count: 0
